cram_url	run_id	id	population
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239540/NA18647.final.cram	ERR3239540	NA18647	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239541/NA18740.final.cram	ERR3239541	NA18740	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239542/NA18745.final.cram	ERR3239542	NA18745	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239543/NA18747.final.cram	ERR3239543	NA18747	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239544/NA18748.final.cram	ERR3239544	NA18748	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239545/NA18749.final.cram	ERR3239545	NA18749	CHB
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239876/NA20808.final.cram	ERR3239876	NA20808	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239877/NA20809.final.cram	ERR3239877	NA20809	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239878/NA20810.final.cram	ERR3239878	NA20810	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239879/NA20811.final.cram	ERR3239879	NA20811	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239880/NA20812.final.cram	ERR3239880	NA20812	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239881/NA20813.final.cram	ERR3239881	NA20813	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239882/NA20814.final.cram	ERR3239882	NA20814	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239883/NA20815.final.cram	ERR3239883	NA20815	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239884/NA20818.final.cram	ERR3239884	NA20818	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239885/NA20819.final.cram	ERR3239885	NA20819	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239886/NA20821.final.cram	ERR3239886	NA20821	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239887/NA20822.final.cram	ERR3239887	NA20822	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239888/NA20826.final.cram	ERR3239888	NA20826	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239889/NA20827.final.cram	ERR3239889	NA20827	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239890/NA20828.final.cram	ERR3239890	NA20828	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239891/NA20832.final.cram	ERR3239891	NA20832	TSI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239892/NA19222.final.cram	ERR3239892	NA19222	YRI
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239893/NA19625.final.cram	ERR3239893	NA19625	ASW
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239894/NA19648.final.cram	ERR3239894	NA19648	MXL
